county,crimerate,prbarr,prbconv,prbpris,avgsen,polpc,density,taxpc,west,central,urban,pctmin80,wcon,wtuc,wtrd,wfir,wser,wmfg,wfed,wsta,wloc,mix,pctymle,crmrtelag
1,.036573,.325395,.578723,.497059,6.55,.0019244,2.364896,28.14034,0,1,0,20.2187,243.7562,358.783,206.8827,383.0707,261.0861,298.88,490.43,281.44,288.58,.0932486,.0823065,.034725901
3,.0120346,.206897,.909091,.366667,8.59,.0006413,1.030888,24.03637,0,1,0,7.91632,2324.598,338.7238,173.1681,250.1563,257.655,262.06,411.23,312.8,262.84,.085034,.084861,.0136621
5,.0124753,.6039600000000001,.180328,.545455,10.04,.0014822,.4127659,27.50368,1,0,0,3.16053,204.918,254.5249,200.157,218.5315,190.6257,192.6,373.06,277.24,242.61,.278481,.073643,.0138299
7,.0245848,.380655,.381148,.483871,11.36,.0015341,.4934334,47.00904,0,1,0,47.9161,291.1915,358.6446,196.3563,268.3363,279.7203,253.55,392.05,277.01,260.93,.2256214,.0774562,.022343401
9,.0133173,.393548,.622951,.407895,9.23,.0009021,.5492958,25.17329,1,0,0,1.79619,256.4102,313.5452,194.7082,277.3669,216.0761,265.99,348.6,316.62,296.99,.0915493,.0739364,.0143262
11,.0141194,.530806,.455357,.27451,7.85,.0024759,.6072875,31.62309,1,0,0,1.5407,229.8311,364.1329,181.2447,303.6437,224.2694,205.47,365.97,282.34,246.76,.2634731,.1012548,.0168042
13,.0349786,.298962,.381944,.454545,7.32,.0013556,.5242131,29.29789,0,0,0,32.1794,246.3054,331.2477,192.8121,280.0598,231.761,270.01,427.7,324.81,244.13,.0980243,.0738005,.030127199
15,.0160135,.423977,.565517,.47561,16.68,.0008896,.3052782,67.58157,0,0,0,61.054,210.7482,325.0271,193.818,326.9231,172.3187,217.01,380.33,317.34,261.01,.2857143,.0782715,.016346
17,.0196959,.464463,.30605,.453488,9.69,.0013673,.3503982,30.73238,0,0,0,40.389,174.8252,299.7003,190.5012,249.7502,201.8889,290.7,377.22,269.76,219.35,.3444445,.0796546,.0179276
19,.0128511,.291667,.122258,.356383,7.85,.0018741,.5302325,74.15497999999999,0,0,0,24.3117,255.5988,582.7787,162.2066,282.1042,221.6631,517.63,426.73,221.33,275.35,.0538922,.0808785,.013686
